strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5 (5+5-),5+5-,any,5,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,10,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,15,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,20,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,25,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,30,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,35,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,40,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,45,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,50,1250,957,293,76.56,3336.95,2336.95,6745.0,0.3465,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,75,1243,953,290,76.67,3335.3,2335.3,6705.0,0.3483,36.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,100,1215,935,280,76.95,3261.4,2261.4,6520.0,0.3468,61.5,25.0,4
Fibonacci $5 (5+5-),5+5-,any,125,1120,872,248,77.86,3163.1,2163.1,5950.0,0.3635,36.0,15.0,3
Fibonacci $5 (5+5-),5+5-,any,150,977,771,206,78.92,2995.05,1995.05,5110.0,0.3904,35.5,15.0,3
Fibonacci $5 (5+5-),5+5-,any,200,556,458,98,82.37,2270.0,1270.0,2865.0,0.4433,20.0,15.0,3
Fibonacci $5 (5+5-),5+5-,any,250,219,185,34,84.47,1508.45,508.45,1115.0,0.456,20.0,10.0,2
Fibonacci $5 (5+5-),5+5-,any,300,67,59,8,88.06,1178.7,178.7,340.0,0.5256,10.1,10.0,2
Fibonacci $5 (5+5-),5+5-,any,350,12,10,2,83.33,1042.9,42.9,65.0,0.66,10.0,10.0,2
Fibonacci $5 (5+5-),5+5-,any,400,3,1,2,33.33,991.2,-8.8,15.0,-0.5867,10.0,5.0,1
