strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100 (4+4-),4+4-,favorite,5,4485,3568,917,79.55,73638.0,72638.0,448500.0,0.162,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,10,4483,3568,915,79.59,73838.0,72838.0,448300.0,0.1625,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,15,4474,3562,912,79.62,73786.0,72786.0,447400.0,0.1627,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,20,4468,3558,910,79.63,73807.0,72807.0,446800.0,0.163,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,25,4460,3552,908,79.64,73683.0,72683.0,446000.0,0.163,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,30,4449,3546,903,79.7,74016.0,73016.0,444900.0,0.1641,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,35,4421,3529,892,79.82,74315.0,73315.0,442100.0,0.1658,2679.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,40,4391,3505,886,79.82,73850.0,72850.0,439100.0,0.1659,2729.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,45,4352,3480,872,79.96,74029.0,73029.0,435200.0,0.1678,2629.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,50,4304,3446,858,80.07,73862.0,72862.0,430400.0,0.1693,2712.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,75,3935,3175,760,80.69,71383.0,70383.0,393500.0,0.1789,2429.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,100,3331,2732,599,82.02,66550.0,65550.0,333100.0,0.1968,1666.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,125,2590,2147,443,82.9,55090.0,54090.0,259000.0,0.2088,1202.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,150,1825,1536,289,84.16,41358.0,40358.0,182500.0,0.2211,1759.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,200,760,665,95,87.5,21174.0,20174.0,76000.0,0.2654,516.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,250,250,228,22,91.2,8612.0,7612.0,25000.0,0.3045,220.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,300,61,60,1,98.36,3644.0,2644.0,6100.0,0.4334,100.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,350,9,9,0,100.0,1334.0,334.0,900.0,0.3711,0.0,100.0,0
Flat $100 (4+4-),4+4-,favorite,400,2,2,0,100.0,1046.0,46.0,200.0,0.23,0.0,100.0,0
