strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5 (4+4-),4+4-,underdog,5,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,10,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,15,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,20,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,25,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,30,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,35,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,40,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,45,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,50,81,40,41,49.38,0.0,-1000.0,1919.55,-0.521,1309.55,445.0,11
Fibonacci $5 (4+4-),4+4-,underdog,75,2818,1607,1211,57.03,12333.75,11333.75,26835.0,0.4223,440.0,275.0,9
Fibonacci $5 (4+4-),4+4-,underdog,100,2324,1369,955,58.91,10185.85,9185.85,20155.0,0.4558,715.0,445.0,10
Fibonacci $5 (4+4-),4+4-,underdog,125,1717,1031,686,60.05,7576.15,6576.15,13770.0,0.4776,235.0,170.0,8
Fibonacci $5 (4+4-),4+4-,underdog,150,1187,733,454,61.75,5523.85,4523.85,8840.0,0.5117,166.5,105.0,7
Fibonacci $5 (4+4-),4+4-,underdog,200,444,294,150,66.22,2694.8,1694.8,2665.0,0.6359,60.0,40.0,5
Fibonacci $5 (4+4-),4+4-,underdog,250,132,90,42,68.18,1502.7,502.7,730.0,0.6886,20.0,15.0,3
Fibonacci $5 (4+4-),4+4-,underdog,300,36,25,11,69.44,1187.85,187.85,240.0,0.7827,35.0,25.0,4
Fibonacci $5 (4+4-),4+4-,underdog,350,11,8,3,72.73,1054.2,54.2,60.0,0.9033,10.0,10.0,2
Fibonacci $5 (4+4-),4+4-,underdog,400,2,0,2,0.0,990.0,-10.0,10.0,-1.0,10.0,5.0,1
