strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $1 (4+4-),4+4-,any,5,8055,5572,2483,69.17,3447.07,2447.07,9887.0,0.2475,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,10,8051,5571,2480,69.2,3449.74,2449.74,9884.0,0.2478,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,15,8031,5560,2471,69.23,3447.75,2447.75,9843.0,0.2487,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,20,8019,5553,2466,69.25,3447.1,2447.1,9830.0,0.2489,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,25,8005,5546,2459,69.28,3447.41,2447.41,9811.0,0.2495,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,30,7972,5532,2440,69.39,3447.29,2447.29,9758.0,0.2508,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,35,7932,5511,2421,69.48,3450.55,2450.55,9734.0,0.2518,49.68,21.0,7
Fibonacci $1 (4+4-),4+4-,any,40,7879,5472,2407,69.45,3436.29,2436.29,9776.0,0.2492,54.0,34.0,8
Fibonacci $1 (4+4-),4+4-,any,45,7811,5439,2372,69.63,3436.43,2436.43,9596.0,0.2539,54.0,34.0,8
Fibonacci $1 (4+4-),4+4-,any,50,7722,5385,2337,69.74,3405.72,2405.72,9509.0,0.253,73.86,34.0,8
Fibonacci $1 (4+4-),4+4-,any,75,7017,4951,2066,70.56,3262.88,2262.88,8450.0,0.2678,53.69,21.0,7
Fibonacci $1 (4+4-),4+4-,any,100,5871,4239,1632,72.2,3006.63,2006.63,6921.0,0.2899,71.14,34.0,8
Fibonacci $1 (4+4-),4+4-,any,125,4472,3284,1188,73.43,2622.5,1622.5,5156.0,0.3147,32.67,21.0,7
Fibonacci $1 (4+4-),4+4-,any,150,3137,2349,788,74.88,2175.38,1175.38,3662.0,0.321,51.24,21.0,7
Fibonacci $1 (4+4-),4+4-,any,200,1246,987,259,79.21,1537.49,537.49,1337.0,0.402,7.45,5.0,4
Fibonacci $1 (4+4-),4+4-,any,250,395,326,69,82.53,1172.81,172.81,411.0,0.4205,4.1,3.0,3
Fibonacci $1 (4+4-),4+4-,any,300,101,89,12,88.12,1058.87,58.87,103.0,0.5716,2.0,2.0,2
Fibonacci $1 (4+4-),4+4-,any,350,20,17,3,85.0,1011.86,11.86,20.0,0.593,1.37,1.0,1
Fibonacci $1 (4+4-),4+4-,any,400,4,2,2,50.0,998.68,-1.32,5.0,-0.264,2.0,2.0,2
