strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100 (5+5-),5+5-,underdog,5,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,10,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,15,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,20,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,25,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,30,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,35,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,40,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,45,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,50,450,286,164,63.56,25814.0,24814.0,45000.0,0.5514,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,75,446,284,162,63.68,25805.0,24805.0,44600.0,0.5562,728.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,100,432,278,154,64.35,25853.0,24853.0,43200.0,0.5753,700.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,125,386,253,133,65.54,24451.0,23451.0,38600.0,0.6075,627.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,150,340,226,114,66.47,22635.0,21635.0,34000.0,0.6363,527.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,200,181,128,53,70.72,14686.0,13686.0,18100.0,0.7561,400.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,250,71,49,22,69.01,6299.0,5299.0,7100.0,0.7463,200.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,300,22,15,7,68.18,2520.0,1520.0,2200.0,0.6909,400.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,350,7,5,2,71.43,1624.0,624.0,700.0,0.8914,200.0,100.0,0
Flat $100 (5+5-),5+5-,underdog,400,2,0,2,0.0,800.0,-200.0,200.0,-1.0,200.0,100.0,0
