strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $1 (4+4-),4+4-,favorite,5,4485,3568,917,79.55,1767.96,767.96,4869.0,0.1577,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,10,4483,3568,915,79.59,1775.15,775.15,4853.0,0.1597,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,15,4474,3562,912,79.62,1774.72,774.72,4839.0,0.1601,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,20,4468,3558,910,79.63,1778.11,778.11,4821.0,0.1614,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,25,4460,3552,908,79.64,1777.09,777.09,4810.0,0.1616,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,30,4449,3546,903,79.7,1780.16,780.16,4801.0,0.1625,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,35,4421,3529,892,79.82,1781.87,781.87,4769.0,0.1639,21.61,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,40,4391,3505,886,79.82,1776.12,776.12,4734.0,0.1639,22.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,45,4352,3480,872,79.96,1780.8,780.8,4668.0,0.1673,21.11,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,50,4304,3446,858,80.07,1778.6,778.6,4618.0,0.1686,21.94,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,75,3935,3175,760,80.69,1740.07,740.07,4227.0,0.1751,22.57,13.0,6
Fibonacci $1 (4+4-),4+4-,favorite,100,3331,2732,599,82.02,1683.45,683.45,3528.0,0.1937,19.65,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,125,2590,2147,443,82.9,1559.37,559.37,2715.0,0.206,19.83,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,150,1825,1536,289,84.16,1415.57,415.57,1901.0,0.2186,18.58,8.0,5
Fibonacci $1 (4+4-),4+4-,favorite,200,760,665,95,87.5,1204.63,204.63,774.0,0.2644,4.78,3.0,3
Fibonacci $1 (4+4-),4+4-,favorite,250,250,228,22,91.2,1077.02,77.02,252.0,0.3056,2.2,2.0,2
Fibonacci $1 (4+4-),4+4-,favorite,300,61,60,1,98.36,1026.44,26.44,61.0,0.4334,1.0,1.0,1
Fibonacci $1 (4+4-),4+4-,favorite,350,9,9,0,100.0,1003.34,3.34,9.0,0.3711,0.0,1.0,0
Fibonacci $1 (4+4-),4+4-,favorite,400,2,2,0,100.0,1000.46,0.46,2.0,0.23,0.0,1.0,0
