strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5 (5+5-),5+5-,favorite,5,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,10,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,15,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,20,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,25,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,30,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,35,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,40,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,45,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,50,760,641,119,84.34,1852.45,852.45,3875.0,0.22,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,75,757,639,118,84.41,1852.35,852.35,3860.0,0.2208,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,100,745,629,116,84.43,1829.0,829.0,3795.0,0.2184,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,125,700,595,105,85.0,1814.45,814.45,3565.0,0.2285,20.7,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,150,610,527,83,86.39,1763.4,763.4,3085.0,0.2475,20.0,15.0,3
Fibonacci $5 (5+5-),5+5-,favorite,200,357,318,39,89.08,1520.55,520.55,1795.0,0.29,11.8,10.0,2
Fibonacci $5 (5+5-),5+5-,favorite,250,143,134,9,93.71,1247.4,247.4,715.0,0.346,6.1,5.0,1
Fibonacci $5 (5+5-),5+5-,favorite,300,43,42,1,97.67,1091.45,91.45,215.0,0.4253,5.0,5.0,1
Fibonacci $5 (5+5-),5+5-,favorite,350,5,5,0,100.0,1008.45,8.45,25.0,0.338,0.0,5.0,0
Fibonacci $5 (5+5-),5+5-,favorite,400,1,1,0,100.0,1001.2,1.2,5.0,0.24,0.0,5.0,0
