strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5,none,favorite,5,13658,10040,3618,73.51,6948.0,5948.0,79910.0,0.0744,331.2,170.0,8
Fibonacci $5,none,favorite,10,13122,9698,3424,73.91,7174.85,6174.85,76135.0,0.0811,359.35,170.0,8
Fibonacci $5,none,favorite,15,12588,9338,3250,74.18,7232.55,6232.55,72345.0,0.0862,292.0,105.0,7
Fibonacci $5,none,favorite,20,12055,8994,3061,74.61,7350.05,6350.05,68790.0,0.0923,297.7,105.0,7
Fibonacci $5,none,favorite,25,11510,8652,2858,75.17,7595.3,6595.3,64925.0,0.1016,254.1,105.0,7
Fibonacci $5,none,favorite,30,10991,8322,2669,75.72,7709.65,6709.65,61755.0,0.1086,257.0,105.0,7
Fibonacci $5,none,favorite,35,10434,7932,2502,76.02,7540.8,6540.8,58665.0,0.1115,282.55,170.0,8
Fibonacci $5,none,favorite,40,9949,7581,2368,76.2,7385.8,6385.8,55685.0,0.1147,307.2,170.0,8
Fibonacci $5,none,favorite,45,9435,7219,2216,76.51,7233.35,6233.35,52785.0,0.1181,304.55,170.0,8
Fibonacci $5,none,favorite,50,8926,6862,2064,76.88,7118.55,6118.55,49885.0,0.1227,280.45,170.0,8
Fibonacci $5,none,favorite,75,6746,5301,1445,78.58,6202.2,5202.2,37705.0,0.138,397.5,170.0,8
Fibonacci $5,none,favorite,100,4859,3916,943,80.59,5542.95,4542.95,26130.0,0.1739,137.9,65.0,6
Fibonacci $5,none,favorite,125,3342,2743,599,82.08,4443.95,3443.95,17765.0,0.1939,109.5,65.0,6
Fibonacci $5,none,favorite,150,2175,1818,357,83.59,3370.0,2370.0,11510.0,0.2059,133.9,65.0,6
Fibonacci $5,none,favorite,200,826,723,103,87.53,2115.4,1115.4,4225.0,0.264,38.9,25.0,4
Fibonacci $5,none,favorite,250,257,233,24,90.66,1391.2,391.2,1300.0,0.3009,13.15,10.0,2
Fibonacci $5,none,favorite,300,62,61,1,98.39,1135.6,135.6,310.0,0.4374,5.0,5.0,1
Fibonacci $5,none,favorite,350,9,9,0,100.0,1016.7,16.7,45.0,0.3711,0.0,5.0,0
Fibonacci $5,none,favorite,400,2,2,0,100.0,1002.3,2.3,10.0,0.23,0.0,5.0,0
