date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2022-12-18,European Pro League Season 5,35652,1,69445,NO SORRY,Cyber Union,Hoodwink|Outworld Destroyer|Lycan|Sniper|Crystal Maiden,Ember Spirit|Doom|Lich|Lifestealer|Techies,Cyber Union,12.44,NO SORRY,1.55,2.35
2022-12-18,EPL World AM S2,35651,1,69444,Ravens,5RATFORCESTAFF,Crystal Maiden|Terrorblade|Razor|Mars|Tusk,Rubick|Timbersaw|Treant Protector|Lifestealer|Lina,Ravens,-3.99,5RATFORCESTAFF,2.11,1.68
2022-12-18,EPL World AM S2,35651,2,69447,Ravens,5RATFORCESTAFF,Snapfire|Mars|Tusk|Terrorblade|Clockwerk,Primal Beast|Treant Protector|Skywrath Mage|Lifestealer|Timbersaw,5RATFORCESTAFF,-21.51,5RATFORCESTAFF,1.87,1.87
2022-12-18,EPL World AM S2,35651,3,69452,Ravens,5RATFORCESTAFF,Snapfire|Sven|Slardar|Crystal Maiden|Tiny,Silencer|Skywrath Mage|Primal Beast|Lifestealer|Dawnbreaker,Ravens,-23.32,5RATFORCESTAFF,2.35,1.52
2022-12-18,TodayPay Invitational S3,35650,1,69439,Balrogs e-Sport,Qhali,Rubick|Shadow Fiend|Crystal Maiden|Batrider|Legion Commander,Sniper|Brewmaster|Doom|Ember Spirit|Elder Titan,Qhali,-4.46,Qhali,1.75,1.97
2022-12-18,TodayPay Invitational S3,35650,2,69446,Balrogs e-Sport,Qhali,Snapfire|Beastmaster|Storm Spirit|Crystal Maiden|Lifestealer,Dawnbreaker|Razor|Brewmaster|Jakiro|Ember Spirit,Balrogs e-Sport,-13.34,Qhali,1.78,1.97
2022-12-18,EPL World AM S2,35644,1,69429,Team Brasil,Dreamers,Razor|Snapfire|Sven|Queen of Pain|Tusk,Leshrac|Tiny|Kunkka|Silencer|Faceless Void,Team Brasil,10.37,Team Brasil,1.68,2.05
2022-12-18,EPL World AM S2,35644,2,69435,Team Brasil,Dreamers,Spirit Breaker|Invoker|Terrorblade|Treant Protector|Snapfire,Pangolier|Ember Spirit|Clockwerk|Tiny|Shadow Fiend,Team Brasil,12.65,Team Brasil,1.78,1.97
2022-12-18,TodayPay Invitational S3,35645,1,69428,ETERNITY,Balrogs e-Sport,Nyx Assassin|Death Prophet|Disruptor|Chaos Knight|Tusk,Rubick|Terrorblade|Dawnbreaker|Ember Spirit|Beastmaster,Balrogs e-Sport,-19.60,Balrogs e-Sport,1.72,2.01
2022-12-18,Star Series,34980,1,69375,Neon Esports,Team Knights,Broodmother|Clockwerk|Morphling|Crystal Maiden|Kunkka,Tiny|Lina|Silencer|Dawnbreaker|Storm Spirit,Team Knights,4.67,Neon Esports,2.35,1.52
2022-12-18,Star Series,34980,2,69382,Neon Esports,Team Knights,Silencer|Bloodseeker|Tiny|Doom|Mirana,Ember Spirit|Rubick|Drow Ranger|Night Stalker|Treant Protector,Team Knights,9.83,Neon Esports,2.35,1.52
2022-12-18,Moon Studio Campfire,35608,1,69355,LBZS,iG.Vitality,Treant Protector|Hoodwink|Lina|Pangolier|Morphling,Rubick|Grimstroke|Templar Assassin|Primal Beast|Bloodseeker,iG.Vitality,-37.27,iG.Vitality,1.80,1.93
2022-12-18,Moon Studio Campfire,35608,2,69381,LBZS,iG.Vitality,Disruptor|Dark Seer|Venomancer|Tusk|Lina,Treant Protector|Templar Assassin|Brewmaster|Mirana|Lone Druid,LBZS,46.92,LBZS,1.87,1.87
2022-12-18,Moon Studio Campfire,35607,1,69354,Neon Esports,iG.Vitality,Sand King|Ember Spirit|Lina|Mirana|Clockwerk,Undying|Rubick|Nature's Prophet|Mars|Phantom Assassin,Neon Esports,6.26,Neon Esports,1.61,2.20
