strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
31_fib5_4heroes_all,5,2791,1425,1366,51.056968828376924,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,10,3561,1863,1698,52.316764953664695,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,15,5735,3017,2718,52.606800348735824,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,20,5770,3033,2737,52.56499133448873,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,25,5248,2778,2470,52.93445121951219,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,30,1035,524,511,50.6280193236715,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,35,4582,2443,2139,53.31732867743344,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,40,4128,2194,1934,53.149224806201545,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,45,3334,1772,1562,53.149370125974805,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,50,2698,1450,1248,53.74351371386212,1000,0.0,-1000.0,-100.0
31_fib5_4heroes_all,75,1290,711,579,55.11627906976744,1000,1297.6499999999994,297.6499999999994,29.76499999999994
31_fib5_4heroes_all,100,330,187,143,56.666666666666664,1000,1030.0500000000004,30.05000000000041,3.0050000000000407
31_fib5_4heroes_all,150,25,12,13,48.0,1000,995.7999999999998,-4.200000000000159,-0.4200000000000159
31_fib5_4heroes_all,200,0,0,0,0.0,1000,1000.0,0.0,0.0
31_fib5_4heroes_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
31_fib5_4heroes_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
